{
     0: (2.012650966644287, 4.402530193328857, 10.0, 10, 8),
     1: (2.006742000579834, 4.401348400115967, 8.805060386657715, 10, 9),
     2: (8.825774192810059, 5.765154838562012, 17.605393600463866, 5, -3),
     3: (17.634516954421997, 7.5269033908843985, 35.21078720092773, 2, -13),
     4: (16.630924224853516, 7.326184844970703, 15.053806781768797, 2, -13),
     5: (15.662889003753662, 7.132577800750732, 30.107613563537594, 1, -12),
     6: (14.660823106765747, 6.932164621353149, 14.265155601501464, 1, -12),
     7: (13.90349006652832, 6.780698013305663, 27.728658485412595, 2, -8),
     8: (12.900820970535278, 6.580164194107056, 13.561396026611327, 2, -8),
     9: (11.899824142456055, 6.379964828491211, 13.160328388214111, 2, -8),
     10: (10.898735046386719, 6.179747009277343, 12.759929656982422, 2, -8),
     11: (12.387768745422363, 6.477553749084472, 24.718988037109373, 2, -9),
     12: (11.38826584815979, 6.277653169631957, 12.955107498168944, 2, -9),
     13: (12.581519842147827, 6.516303968429565, 25.11061267852783, 2, -7),
     14: (11.578881025314331, 6.315776205062866, 13.03260793685913, 2, -7),
     15: (10.579917907714844, 6.115983581542968, 12.631552410125732, 2, -7),
     16: (9.57882308959961, 5.915764617919922, 12.231967163085937, 2, -7),
     17: (11.864614009857178, 6.372922801971435, 23.663058471679687, 2, -8),
     18: (10.86220121383667, 6.172440242767333, 12.74584560394287, 2, -8),
     19: (12.387739181518555, 6.47754783630371, 24.689760971069333, 2, -7),
     20: (11.384554386138916, 6.276910877227783, 12.95509567260742, 2, -7),
     21: (10.379946947097778, 6.075989389419555, 12.553821754455566, 2, -7),
     22: (9.378177881240845, 5.875635576248168, 12.15197877883911, 2, -7),
     23: (11.771678924560547, 6.354335784912109, 23.502542304992673, 2, -4),
     24: (10.76970887184143, 6.153941774368286, 12.708671569824219, 2, -4),
     25: (9.768594026565552, 5.95371880531311, 12.307883548736571, 2, -4),
     26: (8.76711893081665, 5.75342378616333, 11.90743761062622, 2, -4),
     27: (7.765298843383789, 5.553059768676757, 11.50684757232666, 2, -4),
     28: (6.7656309604644775, 5.353126192092895, 11.106119537353514, 2, -4),
     29: (10.73095989227295, 6.146191978454589, 21.41250476837158, 2, -7),
     30: (9.729469060897827, 5.945893812179565, 12.292383956909179, 2, -7),
     31: (11.919977903366089, 6.383995580673217, 23.78357524871826, 2, -4),
     32: (10.917800903320312, 6.183560180664061, 12.767991161346433, 2, -4),
     33: (9.91617202758789, 5.983234405517578, 12.367120361328123, 2, -4),
     34: (8.914595127105713, 5.782919025421142, 11.966468811035156, 2, -4),
     35: (7.913326025009155, 5.582665205001831, 11.565838050842284, 2, -4),
     36: (6.912148952484131, 5.3824297904968255, 11.165330410003662, 2, -4),
     37: (10.796802997589111, 6.1593605995178216, 21.529719161987302, 2, -5),
     38: (9.793939113616943, 5.958787822723388, 12.318721199035643, 2, -5),
     39: (8.792528867721558, 5.758505773544311, 11.917575645446776, 2, -5),
     40: (7.791254043579102, 5.55825080871582, 11.517011547088622, 2, -5),
     41: (11.14571499824524, 6.2291429996490475, 22.23300323486328, 2, -8),
     42: (10.143880844116211, 6.028776168823242, 12.458285999298095, 2, -8),
     43: (12.086734294891357, 6.417346858978271, 24.11510467529297, 2, -7),
     44: (11.08522891998291, 6.217045783996582, 12.834693717956542, 2, -7),
     45: (10.083761930465698, 6.016752386093139, 12.434091567993164, 2, -7),
     46: (9.082610130310059, 5.816522026062011, 12.033504772186278, 2, -7),
     47: (11.658245086669922, 6.331649017333984, 23.266088104248045, 2, -4),
